Node:ROSE,Pid:0,Tid:0,event_type:start,event_name:start,ret:0,time:8634846096215,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:0,Tid:0,event_type:Fault,event_name:block_primary1,ret:0,time:8661819885322,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8731163630675,arg1:50336684,arg2:67113900,arg3:126,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8731601938407,arg1:50336684,arg2:33559468,arg3:140,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8732067194597,arg1:33559468,arg2:67113900,arg3:126,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8732067170971,arg1:67113900,arg2:33559468,arg3:101,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8731204833238,arg1:67113900,arg2:50336684,arg3:106,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:8731601951163,arg1:33559468,arg2:50336684,arg3:227,arg4:0,arg5:na
Node:any,Pid:4,Tid:0,event_type:network_event,event_name:network_delay,ret:0,time:8722013144133,arg1:50336684,arg2:33559468,arg3:60877,arg4:58,arg5:na
Node:mongo-0,Pid:139308,Tid:139500,event_type:sys_exit,event_name:futex,ret:-110,time:8633597819358,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139762,event_type:sys_exit,event_name:futex,ret:-110,time:8633598467287,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139482,event_type:sys_exit,event_name:futex,ret:-110,time:8633598524968,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139476,event_type:sys_exit,event_name:futex,ret:-110,time:8633623722591,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139493,event_type:sys_exit,event_name:futex,ret:-110,time:8633649497250,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:139301,Tid:139489,event_type:sys_exit,event_name:futex,ret:-110,time:8633696713170,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139762,event_type:sys_exit,event_name:futex,ret:-110,time:8633698699876,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139482,event_type:sys_exit,event_name:futex,ret:-110,time:8633699327663,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:139301,Tid:139479,event_type:sys_exit,event_name:futex,ret:-110,time:8633699428119,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:139301,Tid:139480,event_type:sys_exit,event_name:futex,ret:-110,time:8633720663332,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139485,event_type:sys_exit,event_name:futex,ret:-110,time:8633720676212,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139483,event_type:sys_exit,event_name:futex,ret:-110,time:8633720702226,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139476,event_type:sys_exit,event_name:futex,ret:-110,time:8633736799692,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:139301,Tid:139501,event_type:sys_exit,event_name:futex,ret:-110,time:8633742803930,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139502,event_type:sys_exit,event_name:futex,ret:-110,time:8633742827172,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139500,event_type:sys_exit,event_name:futex,ret:-110,time:8633798690739,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139762,event_type:sys_exit,event_name:futex,ret:-110,time:8633798983902,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139482,event_type:sys_exit,event_name:futex,ret:-110,time:8633799907724,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-1,Pid:139301,Tid:139479,event_type:sys_exit,event_name:futex,ret:-110,time:8633799946893,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139476,event_type:sys_exit,event_name:futex,ret:-110,time:8633848992346,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139477,event_type:sys_exit,event_name:futex,ret:-110,time:8633887792297,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139484,event_type:sys_exit,event_name:futex,ret:-110,time:8633888314634,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-0,Pid:139308,Tid:139522,event_type:sys_exit,event_name:futex,ret:-110,time:8633898704552,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:mongo-2,Pid:139294,Tid:139532,event_type:sys_exit,event_name:futex,ret:-110,time:8633898828266,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
