Node:ROSE,Pid:0,Tid:0,event_type:start,event_name:start,ret:0,time:3495810018690,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:any,Pid:15812,Tid:0,event_type:process_state_change,event_name:process_state_change,ret:0,time:3512883758571,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:any,Pid:15877,Tid:0,event_type:process_state_change,event_name:process_state_change,ret:0,time:3513975658035,arg1:1,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:0,Tid:0,event_type:Fault,event_name:process_pause985,ret:0,time:3512856616796,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:any,Pid:0,Tid:0,event_type:network_information,event_name:network_information,ret:0,time:3558913329156,arg1:251728812,arg2:167842732,arg3:74447,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:clock_nanosleep,ret:-516,time:3495810709110,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810754929,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810759071,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810763249,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810767602,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810771266,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:execve,ret:-2,time:3495810775073,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:access,ret:-2,time:3495811213566,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:statfs,ret:-2,time:3495811822027,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:statfs,ret:-2,time:3495811825238,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:access,ret:-2,time:3495811883749,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812007071,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US.UTF-8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812011148,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US.utf8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812014925,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812018585,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en.UTF-8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812022281,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en.utf8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812026297,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812029969,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US.UTF-8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812033558,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US.utf8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812037118,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812040618,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en.UTF-8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812044102,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en.utf8/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15796,Tid:15796,event_type:sys_exit,event_name:openat,ret:-2,time:3495812047586,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en/LC_MESSAGES/util-linux.mo
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:access,ret:-2,time:3495813009202,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:access,ret:-2,time:3495813013970,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:access,ret:-2,time:3495813088646,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:access,ret:-2,time:3495813158642,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:access,ret:-2,time:3495813213932,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495814232749,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/locale-archive
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815291701,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/locale.alias
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815310527,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en_US.UTF-8/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815317757,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en_US.utf8/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815324594,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en_US/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815331195,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en.UTF-8/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815338139,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en.utf8/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:openat,ret:-2,time:3495815345327,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/locale/en/LC_IDENTIFICATION
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:ioctl,ret:-9,time:3495815405125,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:stat,ret:-2,time:3495815525125,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:redis1,Pid:15811,Tid:15811,event_type:sys_exit,event_name:stat,ret:-2,time:3495815538390,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
