Node:ROSE,Pid:0,Tid:0,event_type:start,event_name:start,ret:0,time:953383602201,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:0,Tid:0,event_type:Fault,event_name:change_fstat_result,ret:0,time:954333894043,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:clock_nanosleep,ret:-516,time:954293373371,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:access,ret:-2,time:954293855753,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294271973,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294275380,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294278214,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294281046,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294284802,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294288520,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294291641,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:tendermint,Pid:10434,Tid:10434,event_type:sys_exit,event_name:execve,ret:-2,time:954294294765,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
