Node:zookeeper,Pid:0,Tid:0,event_type:Fault,event_name:Fault,ret:0,time:5583259602621,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:clock_nanosleep,ret:-516,time:5578114616905,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:access,ret:-2,time:5578115798651,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:access,ret:-2,time:5578116503573,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:connect,ret:-2,time:5578117284361,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:connect,ret:-2,time:5578117299773,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:ioctl,ret:-25,time:5578117568524,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:fcntl,ret:-9,time:5578117625697,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:wait4,ret:-10,time:5578119786944,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:wait4,ret:-10,time:5578342307139,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:wait4,ret:-10,time:5578344182898,arg1:255,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:newfstatat,ret:-2,time:5578344691994,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/local/sbin/java
Node:zookeeper,Pid:34815,Tid:34815,event_type:sys_exit,event_name:newfstatat,ret:-2,time:5578344694474,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/local/sbin/java
