 
table 
Value Name
0000000000045210 uv_loop_get_data
0000000000053b90 uv_once
0000000000057f00 uv__inotify_init
000000000003ce90 redisContextConnectBindTcp
000000000004e9d0 uv_poll_start
0000000000038b10 quorum_msg_id
0000000000046f10 uv_ip4_name
000000000003fa20 redisAppendCommandArgv
0000000000080c70 RedisModule_AutoMemory
0000000000080720 RedisModule_DictIteratorStop
0000000000080780 RedisModule_CreateStringFromCallReply
00000000000493a0 uv__open_cloexec
000000000003b110 redisAsyncSetConnectCallback
000000000003eac0 redisFreeCommand
00000000000498b0 uv_translate_sys_error
00000000000411d0 sdscatfmt
000000000003fc60 sdsnewlen
00000000000471f0 uv_ref
00000000000568d0 uv_cpu_info
0000000000046e10 uv_ip4_addr
00000000000539e0 uv_mutex_lock
0000000000080d10 RedisModule_ModuleTypeGetType
0000000000058400 uv_fs_poll_init
00000000000390a0 raft_get_timeout_elapsed
000000000003ff60 sdsclear
00000000000526f0 uv_shutdown
0000000000080b18 RedisModule_StringTruncate
0000000000045070 uv_handle_get_data
0000000000080c38 RedisModule_RegisterInfoFunc
000000000004d390 uv_freeaddrinfo
0000000000039fb0 log_empty
0000000000035f80 raft_set_heap_functions
0000000000080c78 RedisModule_DictDel
000000000003b180 redisAsyncFree
0000000000048220 uv__getiovmax
000000000004bea0 uv_fs_open
00000000000336be ProxyCommand
0000000000040ae0 sdscatlen
000000000004bb90 uv_fs_link
0000000000040e60 sdsll2str
000000000003c0b0 redisCheckSocketError
0000000000080ce0 RedisModule_SetExpire
00000000000532f0 uv_tcp_open
0000000000080910 RedisModule_FreeServerInfo
000000000004b5d0 uv_fs_lchown
0000000000041c70 sdsrange
0000000000019287 checkLeader
0000000000035741 RaftRedisCommandArraySerialize
0000000000080ca0 RedisModule_ZsetRangeEndReached
0000000000080ca8 RedisModule_DictReplaceC
00000000000368e0 raft_become_candidate
0000000000080b78 RedisModule_DictCompare
00000000000482d0 uv_run
000000000004c560 uv_fs_rmdir
000000000004ee70 uv_spawn
0000000000050c40 uv__signal_loop_cleanup
000000000003069c RaftLogReset
0000000000039720 raft_node_is_active
0000000000019105 replyRaftError
0000000000080838 RedisModule_HashSet
0000000000021d9d handleConfigGet
00000000000451f0 uv_fs_get_path
0000000000080a30 RedisModule_GetSelectedDb
0000000000052420 uv_accept
000000000004c720 uv_fs_stat
0000000000026fde RaftReqFree
0000000000044e60 uv_timer_get_repeat
000000000004c120 uv_fs_scandir
000000000003a010 log_get_current_idx
00000000000397b0 raft_node_get_last_acked_msgid
0000000000080a20 RedisModule_CreateModuleUser
000000000003c030 redisCheckConnectDone
0000000000080bb8 RedisModule_CreateStringFromLongLong
0000000000036370 raft_send_requestvote
000000000002b810 configRaftFromSnapshotInfo
0000000000080a88 RedisModule_SetDisconnectCallback
00000000000360d0 raft_new
000000000004b3a0 uv_fs_close
000000000003eca0 redisReconnect
0000000000047e50 uv__async_close
000000000003fe10 sdsnew
000000000003f280 redisConnectFd
00000000000553a0 uv_udp_set_multicast_interface
0000000000057e80 uv__fs_event_close
0000000000057580 uv_fs_event_start
0000000000048730 uv__close
0000000000080778 RedisModule_AuthenticateClientWithACLUser
0000000000050d90 uv__signal_close
00000000000374b0 raft_recv_appendentries
00000000000537c0 uv_barrier_destroy
000000000001c765 HandleNodeStates
0000000000038a80 raft_send_appendentries_all
00000000000809c8 RedisModule_OpenKey
000000000002ebf2 EntryCacheNew
0000000000080c08 RedisModule_InfoAddFieldCString
000000000003ef60 redisConnectBindNonBlock
0000000000080830 RedisModule_StringToDouble
00000000000473f0 uv_fs_scandir_next
0000000000038e80 raft_periodic
000000000001eafb RedisInfoIterate
000000000004e590 uv_pipe_pending_count
00000000000190cb raft_logtype_str
00000000000808f0 RedisModule_ReplyWithStringBuffer
000000000004f700 uv_process_kill
00000000000268d6 initCluster
000000000004c220 uv_fs_readlink
0000000000038fc0 raft_get_nodeid
000000000003eda0 redisConnect
0000000000080b80 RedisModule_SaveDataTypeToString
0000000000036140 raft_free
00000000000486b0 uv__close_nocheckstdio
000000000001c261 sendNodeAddRequest
00000000000395a0 raft_node_get_next_idx
0000000000045440 uv_req_size
000000000003f010 redisConnectBindNonBlockWithReuse
000000000003f360 redisBufferRead
0000000000036180 raft_clear
0000000000080b08 RedisModule_SignalModifiedKey
0000000000080bd0 RedisModule_Log
000000000004eaa0 uv__poll_close
0000000000039440 raft_snapshot_is_in_progress
0000000000080a80 RedisModule_CommandFilterArgInsert
00000000000406b0 sdsAllocSize
0000000000021641 handleConfigSet
0000000000080c98 RedisModule_CreateCommand
00000000000395f0 raft_node_get_udata
0000000000039240 raft_get_node
0000000000037da0 raft_msg_entry_response_committed
0000000000038d50 raft_process_read_queue
0000000000030bf9 RaftLogAppend
0000000000036210 raft_delete_entry_from_idx
000000000001908c getStateStr
000000000003b1f0 redisProcessCallbacks
0000000000052d40 uv_is_readable
0000000000080a90 RedisModule_FreeDict
00000000000540a0 uv_key_get
00000000000809f0 RedisModule_ScanCursorRestart
00000000000360f0 raft_set_callbacks
0000000000080750 RedisModule_ReplyWithLongDouble
00000000000807c8 RedisModule_InfoAddFieldDouble
00000000000453d0 uv_replace_allocator
0000000000080c28 RedisModule_ReplyWithEmptyArray
00000000000393d0 raft_get_last_log_term
0000000000052bc0 uv_read_start
000000000001c4f5 NodeAddPendingResponse
0000000000052090 uv__stream_destroy
0000000000037f80 raft_send_appendentries
0000000000049c30 uv_get_osfhandle
000000000003d3e0 freeReplyObject
000000000001bebd NodeAddrListFree
0000000000047840 uv_print_all_handles
0000000000080be0 RedisModule_BlockClientOnKeys
00000000000453b0 uv__realloc
00000000000808e0 RedisModule_PoolAlloc
0000000000059bf0 uv__work_done
0000000000037920 raft_recv_requestvote
0000000000040750 sdsAllocPtr
000000000003fe30 sdsdup
0000000000019651 setRaftizeMode
00000000000470f0 uv_udp_recv_stop
000000000001b510 NodeInit
0000000000054700 uv__udp_close
0000000000045180 uv_stream_get_write_queue_size
0000000000039330 raft_get_current_leader
0000000000058000 uv__preadv
00000000000807f8 RedisModule_RegisterCommandFilter
0000000000046f90 uv_udp_bind
0000000000080da8 RedisModule_CallReplyLength
000000000007fc30 __raft_malloc
00000000000807d8 RedisModule_FreeClusterNodesList
000000000001efca formatExactMemorySize
0000000000054f80 uv_udp_init
00000000000393b0 raft_is_candidate
0000000000080d98 RedisModule_SaveSigned
00000000000399f0 log_new
0000000000080ae8 RedisModule_ExitFromChild
0000000000045200 uv_fs_get_statbuf
0000000000039170 raft_set_commit_idx
0000000000039a50 log_clear_entries
00000000000391f0 raft_get_last_applied_idx
0000000000042c90 redisReaderCreateWithFunctions
000000000003fb30 redisCommand
0000000000044a10 uv_timer_init
0000000000039390 raft_is_leader
00000000000390d0 raft_get_voted_for
0000000000080d60 RedisModule_DictSize
00000000000488d0 uv__accept
0000000000058440 uv_fs_poll_start
000000000004f6e0 uv_kill
0000000000048e40 uv__io_start
0000000000044c60 uv_timer_start
0000000000047110 uv_walk
0000000000051be0 uv__stream_open
000000000004b860 uv_fs_fsync
00000000000390e0 raft_set_current_term
00000000000807a8 RedisModule_IsKeysPositionRequest
0000000000047260 uv_stop
000000000004d730 uv_check_start
00000000000409c0 sdsgrowzero
0000000000080db0 RedisModule_GetRandomHexChars
000000000003eed0 redisConnectNonBlock
00000000000536a0 uv_tcp_keepalive
0000000000054890 uv__udp_bind
0000000000048820 uv__socket
000000000004b700 uv_fs_fdatasync
000000000007fd20 redis_raft
000000000003d620 redisvFormatCommand
0000000000035413 RaftRedisCommandFree
000000000004da60 uv_loop_init
0000000000059ce0 uv_queue_work
0000000000055ce0 uv__platform_loop_init
0000000000035ff0 raft_new_with_log
00000000000527b0 uv_write2
0000000000039150 raft_get_current_idx
0000000000039590 raft_node_free
00000000000540b0 uv_key_set
000000000004d8a0 uv_idle_init
000000000007fc28 __raft_calloc
00000000000592c0 uv_inet_pton
0000000000055660 uv__udp_recv_stop
0000000000080a28 RedisModule_DictDelC
0000000000055510 uv_udp_getsockname
0000000000080a38 RedisModule_ModuleTypeReplaceValue
0000000000035abe RaftRedisCommandDeserialize
0000000000080ce8 RedisModule_ZsetRangePrev
000000000003f760 redisGetReply
0000000000057f40 uv__inotify_add_watch
0000000000019453 checkRaftState
00000000000390b0 raft_get_log_count
000000000004cbb0 uv_fs_write
0000000000080ba8 RedisModule_StringAppendBuffer
00000000000808d0 RedisModule_Realloc
0000000000046f50 uv_tcp_bind
000000000003052e RaftLogOpen
0000000000039ce0 log_get_from_idx
0000000000080908 RedisModule_ModuleTypeSetValue
0000000000052fc0 uv_tcp_init
0000000000039370 raft_is_follower
0000000000037030 raft_end_snapshot
0000000000080db8 RedisModule_FreeString
00000000000808a8 RedisModule_LoadString
0000000000059d30 uv_cancel
000000000004a160 uv_fs_req_cleanup
000000000001be1e NodeAddrListAddElement
0000000000036f90 raft_get_num_snapshottable_logs
000000000003f4a0 redisBufferWrite
00000000000486a0 uv_is_active
0000000000080a48 RedisModule_CallReplyArrayElement
00000000000567c0 uv_uptime
000000000003ce80 redisContextConnectTcp
000000000007fc20 __raft_realloc
0000000000080850 RedisModule_SetClusterFlags
00000000000808b0 RedisModule_ReplyWithSimpleString
0000000000039210 raft_set_state
0000000000013c41 uv_try_write_cb
0000000000036a60 raft_entry_is_voting_cfg_change
0000000000053700 uv_tcp_simultaneous_accepts
000000000001baef NodeConnect
00000000000535b0 uv__tcp_keepalive
0000000000055250 uv_udp_set_ttl
000000000004ca80 uv_fs_utime
000000000002ad54 pollSnapshotStatus
0000000000058f80 uv_inet_ntop
00000000000808b8 RedisModule_MallocSize
00000000000373c0 raft_get_log
0000000000080740 RedisModule_SendClusterMessage
00000000000480c0 uv_close
0000000000052fd0 uv__tcp_bind
0000000000080d20 RedisModule_CloseKey
000000000004e310 uv_pipe_connect
0000000000042990 sdsmapchars
0000000000035c59 RaftRedisCommandArrayDeserialize
000000000003523f RaftRedisCommandArrayExtend
0000000000039790 raft_node_is_addition_committed
00000000000525f0 uv__handle_type
0000000000055590 uv__udp_recv_start
000000000004d070 uv_getaddrinfo
0000000000080ba0 RedisModule_RetainString
